id,target
77551,0
227812,0
103035,0
260943,0
134611,0
113603,0
55596,0
221680,0
252799,0
235426,0
180403,0
222800,0
209003,0
84308,0
212413,0
172904,0
122526,0
2680,0
124896,0
75612,0
98151,0
9938,0
253031,0
281565,0
255413,0
108810,0
257754,0
178871,0
229133,0
147202,0
38767,0
131558,0
197153,0
201618,0
150502,0
55971,0
227106,0
260990,0
270625,0
83766,0
121967,0
165740,0
35072,0
41231,0
116150,0
121592,0
169246,0
193176,0
35839,0
98778,0
246197,0
189302,0
176643,0
126360,0
12357,0
219166,0
74150,0
132012,0
224594,0
126061,0
173293,0
139351,0
232107,0
30748,0
153034,0
135459,0
38905,0
146799,0
233371,0
139842,0
229407,0
67023,0
1328,0
263361,0
231926,0
126896,0
116651,0
226060,0
147957,0
50415,0
179345,0
255898,0
29083,0
202023,0
248926,0
62481,0
118873,0
128550,0
109425,0
269356,0
180227,0
59950,0
170259,0
276388,0
156666,0
88033,0
184645,0
83012,0
241916,0
74428,0
34324,0
193472,0
199755,0
117951,0
14712,0
265961,0
93280,0
158483,0
121908,0
120890,0
78685,0
152692,0
78603,0
19454,0
123956,0
203380,0
245231,0
11936,0
257166,0
172682,0
194796,0
198058,0
16610,0
106470,0
80465,0
88792,0
26439,0
39963,0
201487,0
241291,0
222985,0
251431,0
82853,0
56638,0
44450,0
210263,0
85875,0
118388,0
138823,0
90592,0
197017,0
94751,0
83135,0
22535,0
71923,0
199962,0
139004,0
184686,0
75102,0
120099,0
93768,0
240180,0
197218,0
283712,0
46955,0
39204,0
22345,0
183317,0
39179,0
56110,0
25245,0
162726,0
265226,0
112733,0
156677,0
213759,0
59736,0
746,0
45293,0
95217,0
188619,0
85429,0
203090,0
21454,0
56786,0
181411,0
91846,0
233397,0
256111,0
139710,0
103561,0
163534,0
244380,0
46724,0
220662,0
144940,0
248950,0
79466,0
207951,0
51410,0
192755,0
18455,0
68258,0
274779,0
117751,0
3117,0
222130,0
181610,0
98173,0
112910,0
166674,0
52971,0
50432,0
270387,0
83459,0
254629,0
52244,0
198352,0
247172,0
129311,0
262914,0
225284,0
65760,0
234376,0
215485,0
263603,0
123176,0
234527,0
26888,0
173993,0
25367,0
203281,0
125816,0
221008,0
13166,0
37865,0
175018,0
9158,0
207865,0
201279,0
249601,0
86227,0
139443,0
90996,0
178647,0
1763,0
100448,0
102090,0
150478,0
129224,0
278581,0
50900,0
171752,0
39009,0
241680,0
35638,0
76181,0
106719,0
206515,0
250263,0
158838,0
204412,0
8323,0
149016,0
254397,0
272935,0
174059,0
49719,0
236814,0
121059,0
166636,0
32490,0
78163,0
52735,0
254143,0
79908,0
203325,0
244277,0
177361,0
104988,0
263747,0
163887,0
124484,0
262753,0
129545,0
59204,0
23285,0
20158,0
2463,0
214102,0
140770,0
162548,0
220657,0
247014,0
147697,0
54051,0
120164,0
117220,0
159456,0
136558,0
163775,0
202799,0
141751,0
42235,0
204240,0
273815,0
215632,0
127940,0
154659,0
270840,0
260467,0
132124,0
128485,0
217749,0
139356,0
224615,0
75854,0
204195,0
169828,0
53101,0
4381,0
16540,0
154082,0
39845,0
16075,0
223560,0
77917,0
241642,0
283956,0
233952,0
230744,0
196310,0
35016,0
1036,0
94017,0
196830,0
38569,0
36514,0
63595,0
35175,0
37991,0
211417,0
275134,0
11439,0
267025,0
127653,0
193535,0
140509,0
123436,0
142603,0
263585,0
123029,0
6876,0
235230,0
276077,0
168798,0
8119,0
102043,0
12761,0
283048,0
214269,0
45884,0
124744,0
27253,0
123944,0
134877,0
106880,0
129501,0
146641,0
49714,0
133628,0
33910,0
283672,0
53881,0
69972,0
284833,0
211244,0
206593,0
